date_utc,asset,close_binance,close_kraken,close_coinbase
2025-08-04,BTC,115055.03,115092.1,115051.85
2025-08-05,BTC,114129.75,114115.0,114112.95
2025-08-06,BTC,114992.27,115010.0,115028.83
2025-08-07,BTC,117472.01,117498.1,117515.49
2025-08-08,BTC,116674.74,116676.0,116683.79
2025-08-09,BTC,116462.25,116467.4,116492.51
2025-08-10,BTC,119294.01,119288.4,119309.37
2025-08-11,BTC,118686.0,118724.5,118701.84
2025-08-12,BTC,120134.08,120172.0,120113.18
2025-08-13,BTC,123306.43,123354.3,123365.63
2025-08-14,BTC,118295.09,118383.1,118389.79
2025-08-15,BTC,117342.05,117426.7,117436.96
2025-08-16,BTC,117380.66,117487.5,117455.68
2025-08-17,BTC,117405.01,117441.3,117488.6
2025-08-18,BTC,116227.05,116260.0,116286.76
2025-08-19,BTC,112872.94,112830.3,112856.19
2025-08-20,BTC,114271.24,114262.7,114276.0
2025-08-21,BTC,112500.0,112462.5,112480.3
2025-08-22,BTC,116935.99,116817.9,116908.68
2025-08-23,BTC,115438.05,115344.1,115383.87
2025-08-24,BTC,113493.59,113456.1,113478.0
2025-08-25,BTC,110111.98,110144.9,110127.74
2025-08-26,BTC,111763.22,111829.3,111788.01
2025-08-27,BTC,111262.01,111268.6,111253.21
2025-08-28,BTC,112566.9,112563.7,112574.85
2025-08-29,BTC,108377.4,108400.1,108378.32
2025-08-30,BTC,108816.33,108750.0,108827.93
2025-08-31,BTC,108246.35,108250.0,108247.95
2025-09-01,BTC,109237.42,109263.5,109240.55
2025-09-02,BTC,111240.01,111196.9,111247.94
2025-09-03,BTC,111705.71,111771.1,111756.41
2025-09-04,BTC,110730.87,110744.3,110720.79
2025-09-05,BTC,110659.99,110647.8,110670.02
2025-09-06,BTC,110187.97,110254.9,110212.6
2025-09-07,BTC,111137.34,111152.8,111129.61
2025-09-08,BTC,112065.23,112050.1,112072.57
2025-09-09,BTC,111546.39,111541.0,111549.32
2025-09-10,BTC,113960.0,113952.8,113983.97
2025-09-11,BTC,115482.69,115500.0,115540.0
2025-09-12,BTC,116029.42,116111.7,116106.03
2025-09-13,BTC,115918.29,115949.1,115968.35
2025-09-14,BTC,115268.01,115390.6,115314.13
2025-09-15,BTC,115349.71,115374.9,115381.08
2025-09-16,BTC,116788.96,116764.2,116832.56
2025-09-17,BTC,116447.59,116469.0,116484.4
2025-09-18,BTC,117073.53,117135.7,117117.99
2025-09-19,BTC,115632.38,115677.2,115690.55
2025-09-20,BTC,115685.63,115739.1,115752.4
2025-09-21,BTC,115232.29,115298.9,115282.27
2025-09-22,BTC,112650.99,112747.8,112736.59
2025-09-23,BTC,111998.8,112001.5,112017.21
2025-09-24,BTC,113307.0,113300.0,113348.17
2025-09-25,BTC,108994.49,109049.8,109035.72
2025-09-26,BTC,109643.46,109706.3,109697.29
2025-09-27,BTC,109635.85,109720.5,109681.16
2025-09-28,BTC,112163.95,112127.8,112197.67
2025-09-29,BTC,114311.96,114365.2,114365.07
2025-09-30,BTC,114048.93,113995.0,114067.71
2025-10-01,BTC,118594.99,118599.9,118659.97
2025-10-02,BTC,120529.35,120649.9,120621.32
2025-10-03,BTC,122232.0,122259.5,122318.4
2025-10-04,BTC,122391.0,122426.4,122458.56
2025-10-05,BTC,123482.31,123542.1,123520.79
2025-10-06,BTC,124658.54,124766.5,124720.09
2025-10-07,BTC,121332.95,121419.8,121393.95
2025-10-08,BTC,123306.0,123329.7,123343.25
2025-10-09,BTC,121662.4,121699.0,121714.51
2025-10-10,BTC,112774.5,113000.1,112980.28
2025-10-11,BTC,110644.4,110775.1,110768.89
2025-10-12,BTC,114958.8,115125.3,115067.98
2025-10-13,BTC,115166.0,115165.5,115274.03
2025-10-14,BTC,113028.14,113106.2,113068.0
2025-10-15,BTC,110763.28,110781.9,110804.12
2025-10-16,BTC,108194.28,108182.3,108198.0
2025-10-17,BTC,106431.68,106451.0,106463.3
2025-10-18,BTC,107185.01,107199.0,107208.91
2025-10-19,BTC,108642.78,108669.8,108676.78
2025-10-20,BTC,110532.09,110574.4,110568.06
2025-10-21,BTC,108297.67,108406.1,108362.27
2025-10-22,BTC,107567.44,107644.1,107585.98
2025-10-23,BTC,110078.18,110080.0,110116.03
2025-10-24,BTC,111004.89,111000.0,111042.13
2025-10-25,BTC,111646.27,111645.2,111666.21
2025-10-26,BTC,114559.4,114509.9,114548.09
2025-10-27,BTC,114107.65,114153.0,114087.06
2025-10-28,BTC,112898.45,112918.0,112906.75
2025-10-29,BTC,110021.29,110104.2,110032.13
2025-10-30,BTC,108322.88,108302.7,108308.18
2025-10-31,BTC,109608.01,109552.7,109555.27
2025-11-01,BTC,110098.1,110018.0,110052.25
2025-11-02,BTC,110540.68,110589.6,110536.01
2025-11-03,BTC,106583.04,106538.3,106557.98
2025-11-04,BTC,101497.22,101537.3,101468.15
2025-11-05,BTC,103885.16,103900.0,103869.0
2025-11-06,BTC,101346.04,101290.1,101290.5
2025-11-07,BTC,103339.08,103279.9,103284.27
2025-11-08,BTC,102312.94,102282.1,102285.57
2025-11-09,BTC,104722.96,104729.8,104694.95
2025-11-10,BTC,106011.13,105973.3,105979.38
2025-11-11,BTC,103058.99,103011.5,103009.35
2025-11-12,BTC,101654.37,101666.6,101639.01
2025-11-13,BTC,99692.02,99680.1,99614.54
2025-11-14,BTC,94594.0,94517.3,94503.96
2025-11-15,BTC,95596.24,95537.9,95544.94
2025-11-16,BTC,94261.44,94190.1,94183.97
2025-11-17,BTC,92215.14,92101.3,92100.6
2025-11-18,BTC,92960.83,92966.1,92914.46
2025-11-19,BTC,91554.96,91427.7,91461.6
2025-11-20,BTC,86637.23,86503.0,86536.88
2025-11-21,BTC,85129.43,85069.4,85068.88
2025-11-22,BTC,84739.74,84679.9,84684.0
2025-11-23,BTC,86830.0,86777.4,86808.28
2025-11-24,BTC,88300.01,88275.0,88266.2
2025-11-25,BTC,87369.96,87326.3,87325.01
2025-11-26,BTC,90484.02,90535.7,90468.84
2025-11-27,BTC,91333.95,91281.4,91316.7
2025-11-28,BTC,90890.7,90912.7,90902.7
2025-11-29,BTC,90802.44,90833.6,90828.06
2025-11-30,BTC,90360.0,90373.9,90369.51
2025-12-01,BTC,86286.01,86300.0,86282.36
2025-12-02,BTC,91277.88,91313.5,91308.05
2025-12-03,BTC,93429.95,93457.9,93453.84
2025-12-04,BTC,92078.06,92142.6,92093.54
2025-12-05,BTC,89330.04,89332.4,89345.29
2025-12-06,BTC,89236.79,89240.1,89267.97
2025-12-07,BTC,90395.31,90435.1,90402.29
2025-12-08,BTC,90634.34,90650.1,90653.86
2025-12-09,BTC,92678.8,92702.2,92690.0
2025-12-10,BTC,92015.37,92019.8,92035.99
2025-12-11,BTC,92513.38,92541.0,92542.0
2025-12-12,BTC,90268.42,90277.2,90278.0
2025-12-13,BTC,90240.01,90254.1,90255.32
2025-12-14,BTC,88172.17,88163.0,88171.61
2025-12-15,BTC,86432.08,86434.3,86417.5
2025-12-16,BTC,87863.42,87840.7,87854.01
2025-12-17,BTC,86243.22,86207.8,86209.77
2025-12-18,BTC,85516.41,85462.5,85460.02
2025-12-19,BTC,88136.94,88105.2,88092.65
2025-12-20,BTC,88360.9,88338.1,88324.0
2025-12-21,BTC,88658.86,88622.2,88639.95
2025-12-22,BTC,88620.79,88544.2,88556.77
2025-12-23,BTC,87486.0,87416.4,87429.32
2025-12-24,BTC,87669.45,87613.7,87609.03
2025-12-25,BTC,87225.27,87198.0,87171.68
2025-12-26,BTC,87369.56,87303.6,87296.01
2025-12-27,BTC,87877.01,87802.6,87808.0
2025-12-28,BTC,87952.71,87853.3,87877.29
2025-12-29,BTC,87237.13,87135.1,87110.78
2025-12-30,BTC,88485.49,88401.9,88397.5
2025-12-31,BTC,87648.22,87500.1,87497.94
2026-01-01,BTC,88839.04,88731.8,88738.34
2026-01-02,BTC,89995.13,89934.0,89957.99
2026-01-03,BTC,90628.01,90590.1,90598.02
2026-01-04,BTC,91529.73,91507.0,91494.0
2026-01-05,BTC,93859.71,93866.9,93870.06
2026-01-06,BTC,93747.97,93711.8,93722.01
2026-01-07,BTC,91364.16,91273.3,91279.73
2026-01-08,BTC,91099.99,91029.1,91026.0
2026-01-09,BTC,90641.28,90513.2,90515.45
2026-01-10,BTC,90504.7,90375.2,90385.54
2026-01-11,BTC,91013.65,90849.8,90872.01
2026-01-12,BTC,91296.2,91190.9,91188.09
2026-01-13,BTC,95414.0,95358.1,95384.23
2026-01-14,BTC,96951.78,96933.3,96955.16
2026-01-15,BTC,95604.8,95559.4,95587.65
2026-01-16,BTC,95550.94,95510.9,95504.0
2026-01-17,BTC,95147.77,95089.9,95109.99
2026-01-18,BTC,93673.14,93632.6,93633.53
2026-01-19,BTC,92631.0,92546.5,92559.66
2026-01-20,BTC,88427.66,88309.9,88310.6
2026-01-21,BTC,89454.73,89372.9,89363.71
2026-01-22,BTC,89559.67,89454.2,89463.5
