asset,date_utc,timestamp_utc,close_px,volume_base,source
USDT,2025-01-05,2025-01-05 00:00:00+00:00,0.99981,41664825.33780618,kraken
USDT,2025-01-06,2025-01-06 00:00:00+00:00,1.00043,163893713.53123376,kraken
USDT,2025-01-07,2025-01-07 00:00:00+00:00,0.99983,194181589.4867977,kraken
USDT,2025-01-08,2025-01-08 00:00:00+00:00,0.99978,204616627.2303472,kraken
USDT,2025-01-09,2025-01-09 00:00:00+00:00,0.99998,195566488.24140728,kraken
USDT,2025-01-10,2025-01-10 00:00:00+00:00,0.99979,191015987.91001832,kraken
USDT,2025-01-11,2025-01-11 00:00:00+00:00,0.99966,54398194.7307384,kraken
USDT,2025-01-12,2025-01-12 00:00:00+00:00,0.99947,51082112.26267452,kraken
USDT,2025-01-13,2025-01-13 00:00:00+00:00,0.99964,193349522.11175,kraken
USDT,2025-01-14,2025-01-14 00:00:00+00:00,0.99974,163930944.84366944,kraken
USDT,2025-01-15,2025-01-15 00:00:00+00:00,1.0001,247517302.94023404,kraken
USDT,2025-01-16,2025-01-16 00:00:00+00:00,0.99992,210020883.25790304,kraken
USDT,2025-01-17,2025-01-17 00:00:00+00:00,1.00039,244143196.50703248,kraken
USDT,2025-01-18,2025-01-18 00:00:00+00:00,0.99878,158452564.5589364,kraken
USDT,2025-01-19,2025-01-19 00:00:00+00:00,0.99866,347644987.14558977,kraken
USDT,2025-01-20,2025-01-20 00:00:00+00:00,0.99891,267308088.9766176,kraken
USDT,2025-01-21,2025-01-21 00:00:00+00:00,1.00021,199137615.56037,kraken
USDT,2025-01-22,2025-01-22 00:00:00+00:00,0.9996,190768969.16895545,kraken
USDT,2025-01-23,2025-01-23 00:00:00+00:00,1.00015,212475564.86972272,kraken
USDT,2025-01-24,2025-01-24 00:00:00+00:00,0.99994,239556147.83630884,kraken
USDT,2025-01-25,2025-01-25 00:00:00+00:00,0.99991,55796994.5891856,kraken
USDT,2025-01-26,2025-01-26 00:00:00+00:00,0.9997,53686938.4723493,kraken
USDT,2025-01-27,2025-01-27 00:00:00+00:00,0.99995,261086113.8874935,kraken
USDT,2025-01-28,2025-01-28 00:00:00+00:00,0.99931,133937922.19916809,kraken
USDT,2025-01-29,2025-01-29 00:00:00+00:00,0.99997,142656086.27835315,kraken
USDT,2025-01-30,2025-01-30 00:00:00+00:00,1.00017,127788959.04717316,kraken
USDT,2025-01-31,2025-01-31 00:00:00+00:00,0.99979,153310450.66825423,kraken
USDT,2025-02-01,2025-02-01 00:00:00+00:00,0.9999,81654477.24109657,kraken
USDT,2025-02-02,2025-02-02 00:00:00+00:00,0.99975,119262787.08839008,kraken
USDT,2025-02-03,2025-02-03 00:00:00+00:00,1.00105,595950484.6695263,kraken
USDT,2025-02-04,2025-02-04 00:00:00+00:00,1.00029,333571909.2972521,kraken
USDT,2025-02-05,2025-02-05 00:00:00+00:00,1.00005,180211364.81527773,kraken
USDT,2025-02-06,2025-02-06 00:00:00+00:00,1.00007,203301765.6253784,kraken
USDT,2025-02-07,2025-02-07 00:00:00+00:00,1.00026,240351244.0536923,kraken
USDT,2025-02-08,2025-02-08 00:00:00+00:00,1.00023,90385747.48124294,kraken
USDT,2025-02-09,2025-02-09 00:00:00+00:00,1.0002,56042993.98089414,kraken
USDT,2025-02-10,2025-02-10 00:00:00+00:00,1.00017,189226228.14091825,kraken
USDT,2025-02-11,2025-02-11 00:00:00+00:00,0.99985,161997828.6573266,kraken
USDT,2025-02-12,2025-02-12 00:00:00+00:00,1.00003,160253808.06795105,kraken
USDT,2025-02-13,2025-02-13 00:00:00+00:00,1.00011,115257970.41499452,kraken
USDT,2025-02-14,2025-02-14 00:00:00+00:00,1.0001,156313090.22965568,kraken
USDT,2025-02-15,2025-02-15 00:00:00+00:00,1.0002,48014450.84077697,kraken
USDT,2025-02-16,2025-02-16 00:00:00+00:00,1.00007,52734357.97376685,kraken
USDT,2025-02-17,2025-02-17 00:00:00+00:00,0.99994,86411360.62881376,kraken
USDT,2025-02-18,2025-02-18 00:00:00+00:00,0.99941,119233879.33890176,kraken
USDT,2025-02-19,2025-02-19 00:00:00+00:00,0.9999,128829765.11578618,kraken
USDT,2025-02-20,2025-02-20 00:00:00+00:00,1.00015,182128184.00353795,kraken
USDT,2025-02-21,2025-02-21 00:00:00+00:00,0.99947,186232979.2484902,kraken
USDT,2025-02-22,2025-02-22 00:00:00+00:00,1.00011,57167776.43485485,kraken
USDT,2025-02-23,2025-02-23 00:00:00+00:00,1.00002,45710696.83127696,kraken
USDT,2025-02-24,2025-02-24 00:00:00+00:00,0.99981,163573091.25648284,kraken
USDT,2025-02-25,2025-02-25 00:00:00+00:00,0.99876,244986784.2317581,kraken
USDT,2025-02-26,2025-02-26 00:00:00+00:00,0.99851,188807969.7542406,kraken
USDT,2025-02-27,2025-02-27 00:00:00+00:00,0.99908,133644395.45164928,kraken
USDT,2025-02-28,2025-02-28 00:00:00+00:00,0.99955,154043747.98326078,kraken
USDT,2025-03-01,2025-03-01 00:00:00+00:00,0.99958,50050922.76401466,kraken
USDT,2025-03-02,2025-03-02 00:00:00+00:00,1.00008,122558410.52687667,kraken
USDT,2025-03-03,2025-03-03 00:00:00+00:00,0.99928,156742607.75727263,kraken
USDT,2025-03-04,2025-03-04 00:00:00+00:00,0.99976,160847893.14448825,kraken
USDT,2025-03-05,2025-03-05 00:00:00+00:00,0.99998,124977887.2161307,kraken
USDT,2025-03-06,2025-03-06 00:00:00+00:00,0.99994,178198849.0370933,kraken
USDT,2025-03-07,2025-03-07 00:00:00+00:00,0.99956,161246157.3162813,kraken
USDT,2025-03-08,2025-03-08 00:00:00+00:00,0.99971,39670427.76194874,kraken
USDT,2025-03-09,2025-03-09 00:00:00+00:00,0.9997,62272108.76191449,kraken
USDT,2025-03-10,2025-03-10 00:00:00+00:00,0.99948,165380187.62983134,kraken
USDT,2025-03-11,2025-03-11 00:00:00+00:00,0.99976,171265161.0161443,kraken
USDT,2025-03-12,2025-03-12 00:00:00+00:00,0.99978,141055245.27531677,kraken
USDT,2025-03-13,2025-03-13 00:00:00+00:00,0.99953,138049104.16192073,kraken
USDT,2025-03-14,2025-03-14 00:00:00+00:00,1.00002,110755694.20654844,kraken
USDT,2025-03-15,2025-03-15 00:00:00+00:00,1.00001,59065874.61050471,kraken
USDT,2025-03-16,2025-03-16 00:00:00+00:00,0.9999,51062113.11495928,kraken
USDT,2025-03-17,2025-03-17 00:00:00+00:00,0.99988,123476541.45613858,kraken
USDT,2025-03-18,2025-03-18 00:00:00+00:00,0.9998,104051548.86055195,kraken
USDT,2025-03-19,2025-03-19 00:00:00+00:00,1.00025,160061433.85269034,kraken
USDT,2025-03-20,2025-03-20 00:00:00+00:00,0.99941,116844422.9603337,kraken
USDT,2025-03-21,2025-03-21 00:00:00+00:00,0.99961,134170556.11522892,kraken
USDT,2025-03-22,2025-03-22 00:00:00+00:00,0.99981,18976271.30363807,kraken
USDT,2025-03-23,2025-03-23 00:00:00+00:00,0.99995,47616668.78124012,kraken
USDT,2025-03-24,2025-03-24 00:00:00+00:00,1.00015,181377398.86635584,kraken
USDT,2025-03-25,2025-03-25 00:00:00+00:00,1.00014,159147357.34502345,kraken
USDT,2025-03-26,2025-03-26 00:00:00+00:00,1.00003,140920136.09458143,kraken
USDT,2025-03-27,2025-03-27 00:00:00+00:00,0.99971,124354782.37829824,kraken
USDT,2025-03-28,2025-03-28 00:00:00+00:00,0.99953,151365712.37920097,kraken
USDT,2025-03-29,2025-03-29 00:00:00+00:00,0.99965,33640494.70414964,kraken
USDT,2025-03-30,2025-03-30 00:00:00+00:00,0.99984,30760363.55914263,kraken
USDT,2025-03-31,2025-03-31 00:00:00+00:00,0.99979,140815946.56501484,kraken
USDT,2025-04-01,2025-04-01 00:00:00+00:00,1.0,131733765.41251978,kraken
USDT,2025-04-02,2025-04-02 00:00:00+00:00,0.99975,161469372.23291805,kraken
USDT,2025-04-03,2025-04-03 00:00:00+00:00,0.99953,118191044.7580604,kraken
USDT,2025-04-04,2025-04-04 00:00:00+00:00,0.99962,180034069.53249627,kraken
USDT,2025-04-05,2025-04-05 00:00:00+00:00,0.99954,21541011.08455986,kraken
USDT,2025-04-06,2025-04-06 00:00:00+00:00,0.99924,133742073.60947151,kraken
USDT,2025-04-07,2025-04-07 00:00:00+00:00,0.99953,259745863.50453916,kraken
USDT,2025-04-08,2025-04-08 00:00:00+00:00,0.99902,227790877.443788,kraken
USDT,2025-04-09,2025-04-09 00:00:00+00:00,0.99972,219328041.52508372,kraken
USDT,2025-04-10,2025-04-10 00:00:00+00:00,0.99937,182805379.8722236,kraken
USDT,2025-04-11,2025-04-11 00:00:00+00:00,0.99954,181926982.5933308,kraken
USDT,2025-04-12,2025-04-12 00:00:00+00:00,0.99992,40937664.05904159,kraken
USDT,2025-04-13,2025-04-13 00:00:00+00:00,0.99968,42633574.22078461,kraken
USDT,2025-04-14,2025-04-14 00:00:00+00:00,0.99991,145663719.72697088,kraken
USDT,2025-04-15,2025-04-15 00:00:00+00:00,0.99989,185726036.41511032,kraken
USDT,2025-04-16,2025-04-16 00:00:00+00:00,1.00003,211833841.07823932,kraken
USDT,2025-04-17,2025-04-17 00:00:00+00:00,0.99999,152395239.1158701,kraken
USDT,2025-04-18,2025-04-18 00:00:00+00:00,0.99983,105994159.3030421,kraken
USDT,2025-04-19,2025-04-19 00:00:00+00:00,0.9999,33529837.50193954,kraken
USDT,2025-04-20,2025-04-20 00:00:00+00:00,0.99998,45126694.18497302,kraken
USDT,2025-04-21,2025-04-21 00:00:00+00:00,1.0,122348668.09803876,kraken
USDT,2025-04-22,2025-04-22 00:00:00+00:00,1.00049,360852727.4004016,kraken
USDT,2025-04-23,2025-04-23 00:00:00+00:00,1.00048,214553310.46707365,kraken
USDT,2025-04-24,2025-04-24 00:00:00+00:00,1.00039,318613106.69911635,kraken
USDT,2025-04-25,2025-04-25 00:00:00+00:00,1.00066,434732086.6835021,kraken
USDT,2025-04-26,2025-04-26 00:00:00+00:00,1.00027,174887950.5175537,kraken
USDT,2025-04-27,2025-04-27 00:00:00+00:00,1.00031,78261646.69884896,kraken
USDT,2025-04-28,2025-04-28 00:00:00+00:00,1.00022,303108485.963187,kraken
USDT,2025-04-29,2025-04-29 00:00:00+00:00,1.0003,240804910.67306367,kraken
USDT,2025-04-30,2025-04-30 00:00:00+00:00,1.00007,217232282.94714108,kraken
USDT,2025-05-01,2025-05-01 00:00:00+00:00,1.00029,231783774.4624958,kraken
USDT,2025-05-02,2025-05-02 00:00:00+00:00,1.00037,330243361.1041032,kraken
USDT,2025-05-03,2025-05-03 00:00:00+00:00,1.00022,196555285.83895144,kraken
USDT,2025-05-04,2025-05-04 00:00:00+00:00,1.00004,69104572.75511909,kraken
USDT,2025-05-05,2025-05-05 00:00:00+00:00,0.99989,144980219.84391257,kraken
USDT,2025-05-06,2025-05-06 00:00:00+00:00,0.99996,172647931.62548074,kraken
USDT,2025-05-07,2025-05-07 00:00:00+00:00,1.0002,175363740.14304608,kraken
USDT,2025-05-08,2025-05-08 00:00:00+00:00,0.99993,245409446.4151088,kraken
USDT,2025-05-09,2025-05-09 00:00:00+00:00,1.0001,238622125.1872424,kraken
USDT,2025-05-10,2025-05-10 00:00:00+00:00,1.00011,61678855.34265594,kraken
USDT,2025-05-11,2025-05-11 00:00:00+00:00,1.00016,47557038.96836619,kraken
USDT,2025-05-12,2025-05-12 00:00:00+00:00,1.00007,178133080.65718117,kraken
USDT,2025-05-13,2025-05-13 00:00:00+00:00,1.00017,273701069.60435545,kraken
USDT,2025-05-14,2025-05-14 00:00:00+00:00,1.00024,216058977.91479412,kraken
USDT,2025-05-15,2025-05-15 00:00:00+00:00,1.00012,233619380.71901405,kraken
USDT,2025-05-16,2025-05-16 00:00:00+00:00,1.0002,239381395.43488336,kraken
USDT,2025-05-17,2025-05-17 00:00:00+00:00,1.00033,121986592.38454576,kraken
USDT,2025-05-18,2025-05-18 00:00:00+00:00,1.00033,83332741.96468122,kraken
USDT,2025-05-19,2025-05-19 00:00:00+00:00,1.00029,269565386.4522256,kraken
USDT,2025-05-20,2025-05-20 00:00:00+00:00,1.00026,332241801.9149696,kraken
USDT,2025-05-21,2025-05-21 00:00:00+00:00,1.00031,389902235.1950056,kraken
USDT,2025-05-22,2025-05-22 00:00:00+00:00,1.00008,194020755.79087216,kraken
USDT,2025-05-23,2025-05-23 00:00:00+00:00,1.00006,282348306.5677672,kraken
USDT,2025-05-24,2025-05-24 00:00:00+00:00,1.0002,108436383.51778944,kraken
USDT,2025-05-25,2025-05-25 00:00:00+00:00,1.00031,70236546.89897096,kraken
USDT,2025-05-26,2025-05-26 00:00:00+00:00,1.00022,162258390.48089853,kraken
USDT,2025-05-27,2025-05-27 00:00:00+00:00,1.00031,289650450.4052855,kraken
USDT,2025-05-28,2025-05-28 00:00:00+00:00,1.00006,239511971.5463676,kraken
USDT,2025-05-29,2025-05-29 00:00:00+00:00,0.99989,179584351.69426405,kraken
USDT,2025-05-30,2025-05-30 00:00:00+00:00,1.0002,191123997.6135247,kraken
USDT,2025-05-31,2025-05-31 00:00:00+00:00,1.0003,171718699.1318319,kraken
USDT,2025-06-01,2025-06-01 00:00:00+00:00,1.00034,105203589.9530867,kraken
USDT,2025-06-02,2025-06-02 00:00:00+00:00,1.00037,256766616.6950356,kraken
USDT,2025-06-03,2025-06-03 00:00:00+00:00,1.00051,381078818.9995176,kraken
USDT,2025-06-04,2025-06-04 00:00:00+00:00,1.0004,199780531.9979159,kraken
USDT,2025-06-05,2025-06-05 00:00:00+00:00,1.00034,292166632.17071205,kraken
USDT,2025-06-06,2025-06-06 00:00:00+00:00,1.00066,438464608.1698661,kraken
USDT,2025-06-07,2025-06-07 00:00:00+00:00,1.00036,300576909.6537126,kraken
USDT,2025-06-08,2025-06-08 00:00:00+00:00,1.00038,121043774.21379703,kraken
USDT,2025-06-09,2025-06-09 00:00:00+00:00,1.00018,300465050.44832885,kraken
USDT,2025-06-10,2025-06-10 00:00:00+00:00,0.99997,191005962.47803804,kraken
USDT,2025-06-11,2025-06-11 00:00:00+00:00,1.00009,198927161.97362337,kraken
USDT,2025-06-12,2025-06-12 00:00:00+00:00,1.00025,174142473.47132567,kraken
